,Way_Id,Nod_ref,Tags
4130,107274424,"['1233326229', '1233325782', '1233325960', '1233326256', '1233325765', '1233325966', '1233326321', '1233325763']",{}
4131,107274431,"['1233326453', '1233325781', '1233325955', '1233326246', '1233325785', '1233325965', '1233325762', '1233326213', '1233326453']","{'source:date': '2008', 'building': 'yes', 'source': 'PNOA;survey'}"
4132,107274435,"['1233325964', '1233326313']","{'source:date': '2008', 'highway': 'steps', 'source': 'PNOA;survey'}"
4133,107274438,"['1233326189', '1233325858']",{}
4134,107274444,"['1233325945', '1233325761']",{}
4135,107274449,"['544479649', '1233325967', '1233326186', '1233325757', '1233325814', '1233326173', '1233325744', '1233325797', '1233326074', '1233325732', '1233325804', '1233326089', '1233325735', '1233325789', '1233325971', '1233326364', '1233325774', '1233325866', '1233326411', '1233325778', '1233325933', '1233325729']","{'source:date': '2008', 'highway': 'track', 'source': 'PNOA;survey', 'tracktype': 'grade1', 'access': 'private'}"
4136,107274453,"['1233326177', '1233325747']",{}
4137,107274458,"['1233325795', '1233325784', '1233325963', '1233326173']","{'source:date': '2008', 'highway': 'track', 'source': 'PNOA;survey', 'tracktype': 'grade1', 'access': 'private'}"
4138,107274465,"['1233325794', '1233325754', '1233325811', '1233326163', '1233325742', '1233325796', '1233326049', '1233326017', '1233325794']","{'source:date': '2008', 'building': 'yes', 'source': 'PNOA;survey'}"
4139,107274472,"['1233325762', '1233325819', '1233326292', '1233325768', '1233325823', '1233326180', '1233325807', '1233326213', '1233325762']","{'source:date': '2008', 'building': 'yes', 'source': 'PNOA;survey'}"
4140,107274488,"['1233325858', '1233326184', '1233325756', '1233325813', '1233326061', '1233325825', '1233326181', '1233325752']",{}
4141,107274496,"['1233325969', '1233326345', '1233325772', '1233325972', '1233326188', '1233326191', '1233325786', '1233325969']",{'building': 'yes'}
4142,107274504,"['1233326041', '1233325730']","{'source:date': '2008', 'highway': 'steps', 'source': 'PNOA;survey'}"
4143,107274518,"['1233325747', '1233325822', '1233326179', '1233325750', '1233325808', '1233326099', '1233325791', '1233326177']",{}
4144,107274525,"['1233325761', '1233325798']",{}
4145,107274546,"['1233325798', '1233325733', '1233325812', '1233326172', '1233325743', '1233325816', '1233326174', '1233325745']",{}
4146,107274552,"['1233325752', '1233325858']",{}
4147,107274557,"['1231981239', '1233325809', '1233326470', '1233326000']","{'source:date': '2008', 'highway': 'footway', 'source': 'PNOA;survey'}"
4148,107274561,"['1233325759', '1233325945']",{}
4149,107274563,"['1233326090', '1233325912', '1233326195', '1233325760', '1233325818', '1233326176', '1233359528', '1233325746', '1233325799', '1233326082', '1233325748', '1233325805', '1233326092', '1233325737', '1233325792', '1233325973', '1233326395', '1233325777', '1233325983', '1233326441', '1233325780', '1233326090']",{'building': 'yes'}
4150,107274567,"['1233326229', '1233325763']",{}
4151,107274570,"['1233325745', '1233325798']",{}
4152,107274586,"['1233326204', '1233325761']",{}
4153,107274593,"['1233325741', '1233326114', '1233325795']","{'source:date': '2008', 'highway': 'track', 'source': 'PNOA;survey', 'tracktype': 'grade1', 'access': 'private'}"
4154,107274604,"['1233326041', '1233326470', '1233325964']","{'source:date': '2008', 'highway': 'footway', 'source': 'PNOA;survey'}"
4155,107274607,"['1233325969', '1233326191', '1233325967', '1233325817', '1233326175', '1233325968', '1233326332', '1233325770', '1233325836', '1233326182', '1233326114', '1233325755', '1233325969']",{'amenity': 'college'}
4156,107274612,"['1233325795', '1233326032', '1233325729']","{'highway': 'track', 'tracktype': 'grade1', 'access': 'private'}"
4157,107274616,"['1233325888', '1233326189']",{}
4158,107274627,"['1233326189', '1233325974', '1233325773', '1233326354', '1233325970', '1233325788', '1233325734', '1233325888']",{}
4159,107279163,"['1233325795', '1233359528']","{'source:date': '2008', 'highway': 'steps', 'source': 'PNOA;survey'}"
4160,107377942,"['1672327042', '1672351248', '1234171064']","{'name': 'Placeta Doctor Martínez Castro', 'highway': 'residential'}"
4161,107377945,"['1672327061', '1672351254', '1234171054']","{'name': 'Placeta Arquitecto Ángel Casas', 'highway': 'residential'}"
4162,107377947,"['411900527', '484622548', '411900526']","{'name': 'Calle Doctor Barraquer', 'highway': 'residential'}"
4163,107397581,"['1234374291', '1678186682', '1678186669', '1234374208']","{'name': 'Calle Vidrio de San Lázaro', 'highway': 'residential', 'oneway': 'yes'}"
4164,107397584,"['1234374232', '1234374279', '1234374195', '1234374991', '1234374232']","{'source:date': '2008', 'building': 'yes', 'source': 'PNOA'}"
4165,107397586,"['1234374291', '1678186686', '1234376020']","{'name': 'Calle Vidrio de San Lázaro', 'highway': 'pedestrian'}"
4166,107397603,"['1234374979', '1234374294']","{'highway': 'service', 'service': 'driveway'}"
4167,107397606,"['1234374290', '1234374333']","{'name': 'Calle San Juan de Letrán', 'highway': 'pedestrian'}"
4168,107397612,"['1234374203', '1234374242', '1234375871', '1234374644', '1234374264', '1678186722', '1678186720', '1234374326', '1234374203']",{'building': 'yes'}
4169,107397620,"['1234374551', '1234375632', '1234375029', '1234374328', '1234374219', '1234374886', '1234374169', '1234375339']",{}
4170,107397651,"['1234374634', '1678186717']","{'name': 'Calle Doctor Adelardo Mora', 'highway': 'pedestrian'}"
4171,107397653,"['1234374255', '1234374295', '1234374213', '1234375288', '1234374255']","{'source:date': '2008', 'building': 'yes', 'source': 'PNOA'}"
4172,107397660,"['1234374291', '1678186684', '2136341068', '1234374274', '2136341057', '411898601']","{'name': 'Calle Don Emilio Durán Durán', 'highway': 'residential'}"
4173,107397662,"['1234374761', '1234375274', '1234374359', '1234374234', '1234374761']",{'building': 'yes'}
4174,107397669,"['1234374274', '1234374192']","{'name': 'Calle Betania', 'highway': 'pedestrian'}"
4175,107397675,"['1234374259', '1234376284']","{'highway': 'service', 'service': 'driveway'}"
4176,107397677,"['1234374210', '1678134241', '1234374252', '1678134237', '1678134243', '1678134235', '1678134226', '1234376126', '1234374262', '1234374210']","{'source:date': '2008', 'building': 'yes', 'source': 'PNOA'}"
4177,107397679,"['1234374571', '1678186724', '1678186725', '1678186723', '1678186726', '1234375048', '1234374323', '1234374216', '1234375372', '1234376305', '1234374571']",{'building': 'yes'}
4178,107397680,"['1234375767', '1234374199', '1234374168', '1234374874', '1234375767']","{'source:date': '2008', 'building': 'yes', 'source': 'PNOA'}"
4179,107397685,"['1234374282', '1678186705', '1758580920', '1234374367']","{'name': 'Calle Marmolillos', 'highway': 'pedestrian'}"
4180,107397686,"['1234374288', '1678186715']","{'name': 'Calle Doctor Adelardo Mora', 'highway': 'pedestrian'}"
4181,107397691,"['1234374243', '1234374291']","{'highway': 'service', 'service': 'driveway'}"
4182,107397695,"['1678186700', '1234374367', '1678186694', '1678186685', '1234374235']","{'name': 'Calle Minas de San Lázaro', 'highway': 'pedestrian'}"
4183,107397706,"['1144242604', '1144241818', '411898601', '1234374214', '411899149', '21293516', '1144242137', '1144242484', '1144241996']","{'name': 'Avenida de Madrid', 'source:date': '2008', 'source': 'PNOA', 'highway': 'secondary', 'lanes': '1', 'oneway': 'yes'}"
4184,107397712,"['1234374241', '1234374287', '1234374409', '1234374239', '1234374241']",{'building': 'yes'}
4185,107397718,"['411900917', '938223550']","{'name': 'Plaza de San Lázaro', 'highway': 'pedestrian'}"
4186,107510770,"['1235622311', '1235622437', '1235621812', '1235621686', '1235622311']",{'building': 'yes'}
4187,107510776,"['1235622662', '1235622169', '1235623295', '554810088']",{'highway': 'pedestrian'}
4188,107510804,"['554810118', '1235623146', '1235621610', '1235622662']",{'highway': 'pedestrian'}
4189,107510828,"['1235621712', '1678134222', '1678134219', '1235623223', '1235623100', '1235622632', '1235622449', '1235621832', '1235621712']",{'building': 'yes'}
4190,107510839,"['1235622617', '1235622254', '1235622071', '1235623394', '1235623195', '1235622735', '1235622617']","{'amenity': 'public_building', 'building': 'yes'}"
4191,107889254,"['1239075113', '1239074847', '1239075075', '1239075350', '1239074943', '1239075164', '1239074782', '1239075038', '1239075302', '1239074742', '2090001831', '1239075011', '1239075268', '1239074913', '1239075116', '1239074778', '1239074757', '1239075023', '2090001814', '1239075272', '2090001808', '1239074915', '1239075121', '1239075223', '1239074845', '1239075331']","{'highway': 'unclassified', 'lanes': '1', 'oneway': 'yes'}"
4192,107889266,"['1239074960', '1239074698']",{'highway': 'residential'}
4193,107889271,"['1239075321', '1239075051']",{'highway': 'residential'}
4194,107889275,"['1198060183', '1239074960', '1239074999', '1239074716']","{'name': 'Calle de la Alhondra', 'highway': 'residential'}"
4195,107889277,"['1239075242', '1239074989', '1198086031', '1239074716', '1239075222']","{'name': 'Calle de Huelva', 'highway': 'residential'}"
4196,107889307,"['1239074787', '1239075170']","{'name': 'Almería', 'highway': 'residential'}"
4197,107889309,"['21478863', '1821236674', '2498705395', '21478787', '2498705405', '21478779', '1239075061', '21478747', '21478750', '21478830']","{'name': 'Avenida de las Palmeras', 'highway': 'primary', 'oneway': 'yes'}"
4198,107909314,"['1239260597', '1239260649']",{'highway': 'residential'}
4199,107909315,"['1239260608', '1239260666']",{'highway': 'residential'}
4200,107909316,"['283579324', '1239260604', '1198060111', '1198060181']","{'name': 'Calle París', 'highway': 'residential', 'oneway': '-1'}"
4201,107909321,"['1239260637', '1239260603']",{'highway': 'residential'}
4202,107909322,"['1239260617', '1239260673', '1239260632']",{'highway': 'residential'}
4203,107909323,"['1239260613', '1239260672']","{'highway': 'residential', 'noexit': 'yes'}"
4204,107909324,"['1239260635', '1198060186', '1239260668', '1239260612']",{'highway': 'residential'}
4205,107909326,"['1239260678', '1198059780']","{'name': 'Calle Juan Oro', 'highway': 'residential', 'oneway': 'yes'}"
4206,107909327,"['1239260659', '1278190126', '1278190160', '1239260624', '2898807496', '1239260617', '1239260647']","{'name': 'Calle Alfonso Ladrán', 'highway': 'residential'}"
4207,107909328,"['1765963986', '1239260638', '1765964004', '1239260605']","{'highway': 'residential', 'oneway': 'yes'}"
4208,107909329,"['1239260604', '1239260661']","{'name': 'Calle Maimónides', 'highway': 'residential', 'oneway': 'yes'}"
4209,107909331,"['1239260668', '1452493828', '1239260630']",{'highway': 'residential'}
4210,107909335,"['1239260683', '1239260639', '1239260607', '1239260665']","{'name': 'Calle Celso', 'highway': 'residential', 'oneway': 'yes'}"
4211,107909337,"['1239260622', '1239260620', '1239260684', '1239260674']",{'highway': 'residential'}
4212,107909341,"['1239260653', '1198060007', '1239260663']","{'name': 'Calle Pájaro Azul', 'highway': 'residential', 'oneway': '-1'}"
4213,107909342,"['1198060088', '1198060080']","{'name': 'Calle Francisco Grande Covián', 'highway': 'residential', 'oneway': 'yes'}"
4214,107909343,"['1239260600', '1239260655']","{'name': 'Calle Francisco Grande Covián', 'highway': 'residential', 'oneway': 'yes'}"
4215,107909345,"['1239260652', '1239260620', '1213391816']",{'highway': 'residential'}
4216,107909346,"['1239260650', '1278190163', '1278190119', '1278190147', '1278190113', '1278190112', '1278190135', '283579327']","{'name': 'Calle Santiago Grisolía', 'highway': 'residential'}"
4217,107909350,"['1239260675', '1239260633']","{'name': 'Calle David Vázquez Martínez', 'highway': 'residential'}"
4218,107948597,"['1198086159', '1239553743']",{'highway': 'residential'}
4219,107948606,"['1239553708', '1239553614', '2206736920']",{'highway': 'residential'}
4220,107948611,"['1239553768', '1239553671', '1239553692']",{'highway': 'residential'}
4221,107948612,"['1198060123', '1239553736', '1213347788']",{'highway': 'residential'}
4222,107948628,"['1239553728', '1239553768', '1239553632']",{'highway': 'residential'}
4223,107948633,"['1213347851', '1239553750']",{'highway': 'residential'}
4224,107948640,"['1239553777', '1239553704', '1239553708', '1239553655']",{'highway': 'residential'}
4225,107948641,"['1239553720', '1198086523']",{'highway': 'residential'}
4226,107948646,"['1239553671', '1239553805', '1239553756']",{'highway': 'residential'}
4227,107948650,"['1239553667', '1239553777', '2206736916']",{'highway': 'residential'}
4228,107948652,"['1239553805', '1840890640']",{'highway': 'residential'}
4229,108000646,"['1239948430', '1239948436']",{'highway': 'residential'}
4230,108064598,"['1240510492', '1240510487', '1993949731']",{'highway': 'residential'}
4231,108064599,"['1138958044', '1240510485', '1240510486', '1240510489', '1240510492']","{'highway': 'residential', 'oneway': 'yes'}"
4232,108130028,"['1241053837', '1610237319', '1241053859']","{'highway': 'residential', 'oneway': 'yes'}"
4233,108130049,"['1215984814', '1362780827', '1215985060']","{'name': 'Avenida Don Bosco', 'highway': 'tertiary', 'oneway': 'yes'}"
4234,108130085,"['1241053871', '1241053839', '1610237301', '1241053712']","{'name': 'Calle Motril', 'highway': 'residential', 'oneway': 'yes'}"
4235,108130090,"['324567660', '324567661', '1225983143', '1377467385', '1733942053', '1215984442', '324567330', '1377467327', '1197483505', '1197482308', '1215984314', '324567662', '1197482864', '1197482522', '324567663']","{'name': 'Avenida de Cádiz', 'short_name': 'avda Cádiz', 'short_name_1': 'avenida Cádiz', 'highway': 'tertiary', 'lanes': '2', 'oneway': 'no'}"
4236,108130099,"['265808290', '1241053712', '1610237291', '1241053832']","{'highway': 'residential', 'oneway': 'yes'}"
4237,108130102,"['1241053839', '1241053847']","{'highway': 'residential', 'oneway': 'yes'}"
4238,108139057,"['1241121214', '1241120823', '1241120795', '1241120844', '1241120880', '1241120924', '1241120902', '1241120950', '1241120912', '1241121092', '1241120893', '1241120936', '1241121041', '1241121165', '1241121121', '1241121206', '1241120812', '1241120851', '1241120838', '1241120869', '1241120915', '1241120972', '1241120940', '1241121048', '1241121168', '1241120782', '1241121209', '1241120817', '1241120853', '1241120896', '1241120873', '1241120919', '1241120977', '1241121124', '1241120871', '1241120917', '1241120975', '1241121122', '1241121062', '1241121170', '1241120786', '1241120839', '1241120818', '1241120854', '1241120870', '1241120916', '1241120973']",{'highway': 'unclassified'}
4239,108139064,"['1241121110', '1241121039']",{'highway': 'residential'}
4240,108139066,"['1241121219', '1241120884', '1241120938']",{'highway': 'residential'}
4241,108139067,"['1241120887', '1241120907', '1241120958', '1241121105', '1241121200', '1241121160', '1987311164', '1241121221']",{'highway': 'residential'}
4242,108139069,"['1241120958', '1241121107', '1241120960']",{'highway': 'residential'}
4243,108139071,"['427738109', '1241121218', '1241121198', '1840896451', '1241120804', '1840896450', '1241120848', '427738229', '1241120862', '1241120904', '1241120954', '1241121099', '1241121013', '427738109']","{'highway': 'residential', 'junction': 'roundabout'}"
4244,108139073,"['1198121317', '1241120811']","{'name': 'Calle Teresa de Calcuta', 'highway': 'residential'}"
4245,108139074,"['1198121044', '1241121146']","{'name': 'Calle María Zambrano', 'highway': 'residential'}"
4246,108139078,"['1198121939', '1241121015', '1241121152']",{'highway': 'residential'}
4247,108139079,"['1241121107', '1241121201']",{'highway': 'residential'}
4248,108139080,"['427738202', '427738205', '427738208', '427738210', '427738211', '2214971408', '427738213', '1198121356']","{'name': 'Calle Las Margaritas', 'highway': 'residential'}"
4249,108139081,"['1915201079', '1915201082', '1215985038', '1215984802', '1215984622', '1215984438', '1215984415', '1215985096', '1215984858', '1215984686', '1215984346', '1215985006']","{'name': 'Calle Padre Francisco Palau Y Quer', 'highway': 'residential', 'oneway': 'yes'}"
4250,108139084,"['1241120789', '1241120959']",{'highway': 'residential'}
4251,108139087,"['1198121731', '1241120874']",{'highway': 'residential'}
4252,108139089,"['1241120878', '1241120922']","{'highway': 'residential', 'oneway': 'yes'}"
4253,108139090,"['1241120942', '1241121126', '1241121068']","{'name': 'Calle Eras Bajas', 'highway': 'residential'}"
4254,108139091,"['1241120889', '1241120929']",{'highway': 'residential'}
4255,108139094,"['1241121191', '1241121110', '1241120794']",{'highway': 'residential'}
4256,108139095,"['1198120829', '1241120922', '1241121212']","{'highway': 'residential', 'oneway': 'yes'}"
4257,108139096,"['427738190', '1241120932']",{'highway': 'residential'}
4258,108139097,"['427738088', '427738091', '427738094', '427738097', '427738098', '1241120929', '427738107', '2214971442', '427738109']","{'name': 'Calle Santa Isabel', 'highway': 'residential'}"
4259,108139099,"['1241120994', '1241121126']",{'highway': 'residential'}
4260,108139103,"['1198120829', '1241121182']",{'highway': 'residential'}
4261,108139104,"['1198121041', '1241120905', '1241120841']",{'highway': 'residential'}
4262,108144704,"['2206649542', '2206649544', '2206649545', '2206649547', '1241184684', '1241184679', '1241184673', '1241184671', '2206649628', '2206649635', '2206649638', '2206649641', '2206649637', '1449586154']","{'highway': 'service', 'oneway': 'yes'}"
4263,108144707,"['330186723', '1241184676']","{'name': 'Calle Gallito', 'highway': 'residential'}"
4264,108144708,"['1241184660', '1241184681']",{'highway': 'residential'}
4265,108144710,"['1241184674', '1241184672', '1241184686']","{'name': 'Calle Carlos Arruza', 'highway': 'residential'}"
4266,108144712,"['330186721', '330186722', '1241184675', '1241184682', '1384207011', '1384206352', '1241184685']","{'name': 'Calle Machaquito', 'highway': 'residential'}"
4267,108339514,"['1144242210', '1144242641', '290969130', '1679669122', '663759686', '1144241878', '1144241936', '1678289897']","{'name': 'Avenida de la Constitución', 'highway': 'tertiary', 'oneway': 'yes'}"
4268,108472727,"['1244544858', '1244544730', '1244545052', '1244544684', '1244544970', '1244544808', '1244544706']","{'name': 'Calle Polibio', 'highway': 'service', 'service': 'parking_aisle', 'oneway': 'yes'}"
4269,108472729,"['1244544685', '1244544971', '1684907649', '265745057', '1244544779', '88143949', '1749592559', '88143811', '1449592016', '420883126', '1597497923', '1684907694', '1684907698', '1684907702']","{'name': 'Calle Arzobispo Pedro de Castro', 'highway': 'residential', 'oneway': 'yes'}"
4270,108472735,"['1348219817', '1348357278', '1348219595', '1348219853', '1842477885', '1842477857', '1842477838', '1842477807', '1842477616', '1842477489', '1842477438', '1348219592', '1348219846', '1348357256', '1842477334', '1348219938', '1348219768', '1842477255', '1842477241', '1348219572', '1348219727', '1348220004', '1348219797', '1348219653', '1348219574', '1348219525', '1348220009', '1348219879', '1348219891', '1348357273', '1348219635', '1348219819', '1348220003', '1348219957', '1842477095', '1348219943', '1348219881', '1348247986', '1348247858', '1348248059', '1842477054', '1348357301', '1348247992', '1348247894', '1348248006', '1348247838', '1348247903', '1348248078', '1348247840', '1348248076', '1244544993', '1244544834', '1244544913', '1244544765', '4213241452', '4213241451', '1244544666', '1244544946', '1244545016', '1244544874', '1348248057', '1348247874', '1348247962', '1348248101', '1348248070']","{'layer': '3', 'voltage': '750', 'construction': 'subway', 'name': 'Metro de Granada', 'designation': 'Metropolitano de Granada', 'frequency': '0', 'railway': 'tram', 'electrified': 'yes', 'source': 'knowledge'}"
4271,108472738,"['290918404', '1244544637', '1244544908', '1244544763', '1244544664', '1244544713']","{'name': 'Calle Polibio', 'highway': 'service', 'service': 'parking_aisle', 'oneway': 'yes'}"
4272,108988531,"['1249144059', '288614015']","{'layer': '1', 'gauge': '1668', 'electrified': 'no', 'bridge': 'yes', 'railway': 'rail'}"
4273,108988536,"['288614015', '288614014', '288613992']","{'gauge': '1668', 'electrified': 'no', 'railway': 'rail'}"
4274,109043726,"['1249564158', '325192144', '1589425215']","{'name': 'Avenida de Maracena', 'highway': 'tertiary'}"
4275,109043727,"['325192790', '306513510', '552830305', '325189725']","{'name': 'Calle Periodista Fernando Gómez de la Cruz', 'highway': 'residential'}"
4276,109043728,"['1249564152', '1249564147', '1249564165', '1249564148']","{'name': 'Calle Periodista Eugenio Selles', 'highway': 'residential', 'oneway': 'yes'}"
4277,109043928,"['1249565803', '1249565800']","{'name': 'Calle Periodista Matías Méndez Vellido', 'highway': 'pedestrian'}"
4278,109043930,"['1249565796', '1249565791', '1249565788']","{'name': 'Calle Periodista Fray Antonio de la Chica', 'highway': 'pedestrian'}"
4279,109043931,"['1249565780', '1249565797', '1249565800', '1249565805']","{'name': 'Calle Periodista Francisco Guerrero Vílchez', 'highway': 'pedestrian'}"
4280,109043932,"['1249565789', '1249565787']","{'name': 'Calle Periodista Fray Antonio de la Chica', 'highway': 'pedestrian'}"
4281,109043933,"['1249565801', '1249565798']","{'name': 'Calle Periodista Francisco Guerrero Vílchez', 'highway': 'pedestrian'}"
4282,109043937,"['1249565779', '1249565780', '1249565806', '1685841204']","{'name': 'Calle Periodista Eduardo Font Moreno', 'highway': 'pedestrian'}"
4283,109044264,"['1249569226', '1249569215', '1249569213', '1249569210']","{'name': 'Placeta de Burgos', 'highway': 'residential'}"
4284,109044267,"['582465074', '325188507']","{'name': 'Calle Algas', 'highway': 'pedestrian'}"
4285,109044268,"['1249569224', '1249569217']",{'highway': 'residential'}
4286,109044269,"['556143128', '556143137', '556142772', '556143149']",{'highway': 'residential'}
4287,109044270,"['1249569209', '1249569226', '1249569208']","{'name': 'Calle Santa Micaela', 'highway': 'residential'}"
4288,109044333,"['324437055', '324437054', '556142832', '311660494', '582465075', '1594552845', '325188064', '1594552826', '311660483', '1594552850', '1594552825', '311660476', '556143214', '556143149']","{'name': 'Calle Salmón', 'highway': 'residential'}"
4289,109071939,"['1249747433', '1249747451', '1249747449', '1249747432', '1249747458', '1249747461', '1249747456', '1249747454', '1249747452', '1249747447', '1249747460', '1351108282', '1249747463', '1249747433']","{'amenity': 'university', 'alt_name': 'Water Institute of Granada', 'building': 'yes', 'int_name': 'Instituto del Agua', 'name': 'Instituto del Agua'}"
4290,109140874,"['1250262527', '1250262520', '1250262525', '1250262505']","{'name': 'Calle Gustavo Doré', 'highway': 'residential', 'oneway': 'yes'}"
4291,109140875,"['1250262533', '1250262532']","{'highway': 'service', 'access': 'private'}"
4292,109140876,"['1250262539', '833571710']","{'name': 'Calle Húsares', 'highway': 'residential'}"
4293,109140877,"['265746636', '2481306812']","{'name': 'Calle Poeta Vicente Aleixandre', 'highway': 'steps'}"
4294,109140878,"['556143063', '1250262525', '1250262518', '1250262506']","{'name': 'Calle Gerald Brenan', 'highway': 'residential'}"
4295,109140879,"['1250262504', '1250262535']","{'highway': 'service', 'access': 'private'}"
4296,111296080,"['1268360175', '4173693161', '2932872209', '1268360123']","{'name': 'Avenida de la Investigación', 'highway': 'residential', 'oneway': 'no'}"
4297,111296081,"['1268360174', '1012789992', '1012788967', '1012789660']","{'name': 'Calle Menéndez Pelayo', 'highway': 'residential'}"
4298,111296082,"['893036009', '2375956255', '4173692088', '1268360159', '1268360128', '1268360120', '1268360163', '1268360182', '4173693100', '1268360152', '1268360143', '1268360186', '4173693168', '1268360132', '1268360177', '1268360168', '4173693179', '1268360135']","{'name': 'Avenida del Conocimiento', 'highway': 'residential', 'oneway': 'yes'}"
4299,111296083,"['1268360129', '1362818866', '1268360137', '1268360180', '1268360125', '1765955298', '1268360171', '1268360126', '1362818758', '1268360172', '1268360189', '1268360146', '1268360156', '3660295878', '1348292150', '1268360149', '1268360192', '1268360138', '1268360160', '3660295884', '1268360166', '1268360141', '1362818734', '1268360129']","{'highway': 'tertiary', 'junction': 'roundabout'}"
4300,111296084,"['1268360136', '1422539425', '1348291985', '1268360170', '1011904702', '1268360158', '1895984072', '1011905813', '1895984071', '1011905596', '1268360164', '1422539423', '1011905716', '1268360133', '3660301142', '1268360191', '1268360122', '1268360188', '1268360181', '1268360135', '1268360169', '1268360150', '1422539412', '1765955286', '1268360136']","{'highway': 'tertiary', 'junction': 'roundabout'}"
4301,111296086,"['1268360136', '3692463724', '2375956355', '1268360154', '1268360175', '1268360140', '1348292150']","{'name': 'Avenida de la Innovación', 'highway': 'tertiary', 'oneway': 'yes'}"
4302,111296087,"['1011904702', '1895984075', '1011905579', '1365550908', '3692465906', '1427023918', '544472516', '1895984095', '1011905613']","{'name': 'Avenida del Conocimiento', 'highway': 'residential', 'oneway': 'yes'}"
4303,111296088,"['1268360147', '1272292991', '1272292987', '1272292947', '1268360167', '1268360134', '1268360124']","{'name': 'Calle Jiménez Quiles', 'highway': 'residential', 'oneway': 'yes'}"
4304,111296090,"['1268360146', '1268360187', '1270279157', '1268360179', '2375956371', '3692465828', '1268360170']","{'name': 'Avenida de la Innovación', 'highway': 'tertiary', 'oneway': 'yes'}"
4305,111303119,"['1268456474', '1268456921', '1268456513']",{'highway': 'residential'}
4306,111303122,"['1268457330', '1268456817', '1268456431']",{'highway': 'residential'}
4307,111303125,"['494839451', '1268457012']",{'highway': 'residential'}
4308,111303127,"['1214737838', '620828614', '1214737475', '620828615']",{'highway': 'residential'}
4309,111303131,"['620828722', '1268457330', '1268456760']",{'highway': 'residential'}
4310,111303133,"['893376260', '1268457101', '1268456626', '1268456888', '1268456495', '1268457599', '1268456946', '1268457333', '1268456762', '2572778117', '1268456652', '2572778116', '1268457425', '2572778115', '1268456526', '620828828']",{'highway': 'track'}
4311,111303135,"['1268457454', '1268456566', '1268456452', '1268456795', '1268457041', '1268457495', '1268456842', '1268456718', '1268457535', '1268456585', '1268457263', '1268456604', '1268457291', '1268456470', '1268457049', '1268456907', '1268456498', '1268456735', '1268457561', '1268457343', '1268456771', '1268457111', '1268456630', '1268456534', '1268457176', '1268456404', '1268456631', '1268457375', '1268457178', '1268456662']",{'highway': 'residential'}
4312,111303136,"['620892861', '1268456672', '1268456976', '1268456548']",{'highway': 'residential'}
4313,111303140,"['1268457451', '620892967']",{'highway': 'residential'}
4314,111345733,"['1268755482', '1268755503', '1268755460', '1268755456', '1268755509', '1268755452', '1268755487']",{'highway': 'residential'}
4315,111345734,"['621418773', '1268755482', '620828710']",{'highway': 'residential'}
4316,111345735,"['620892878', '620892948']",{'highway': 'residential'}
4317,111345736,"['1268755488', '1268755478', '1268755450', '620892956']",{'highway': 'residential'}
4318,111345737,"['1268755451', '1268755484']",{'highway': 'residential'}
4319,111345738,"['1268755453', '1268755506']",{'highway': 'residential'}
4320,111376237,"['1268977027', '1613234716', '1279662996', '1268977014', '1279662768', '1279662563', '1279663743', '1268977016', '1268976999', '1279663515', '1279662377', '1268977022', '1279663733', '1279663470', '1268977009', '1279663059', '1279662883', '1279662679', '1279662454', '1279662315', '1279662662', '1279663248', '1279662987', '1279662757', '1268977013', '1268977011', '1279662443', '1279662304', '1279663666', '1279662554', '1279662534', '1279662369', '1279662976', '1279662733', '1268977008', '1268977002', '1268977025', '1279663716', '1268977027']","{'name': 'Fábrica de PULEVA', 'landuse': 'industrial'}"
4321,111477585,"['494839439', '1269992000', '1269991998', '1269991982', '1269991994', '1269991979']",{'highway': 'residential'}
4322,111477586,"['1269991996', '1363570162', '1269991974']","{'name': 'Calle Habanera', 'highway': 'residential'}"
4323,111477587,"['1269991999', '1269991990', '1269991975', '1363488570', '1269991987', '1269991972', '1269992005', '1269991989', '1269992002', '1269991986', '1269991976', '1269991984', '1269991977', '1269992004']","{'name': 'Camino de los Abencerrajes', 'highway': 'unclassified'}"
4324,111477588,"['620893362', '1269991988', '1269992001', '1269991985', '1269991983', '1269992003', '1269991980', '1269991999']","{'highway': 'unclassified', 'noexit': 'yes'}"
4325,111477617,"['621418717', '1269992242', '1269992245', '1269992240', '1269992239', '1269992236', '1269992238', '1269992244', '1269992243', '1269992237', '1269992241']",{'highway': 'unclassified'}
4326,111539924,"['1270507008', '1270506978']",{'highway': 'residential'}
4327,111539925,"['499994542', '4154328430', '1198121681', '1270506957', '1270506950', '500008846', '1198121286', '1270506990', '1198120791', '1198120779', '309863859', '1198121570', '1998482579', '309863865', '1198121097', '1905219612', '1198121139', '1198121279']","{'name': 'Calle San Ramón', 'highway': 'tertiary', 'ref': 'GR-3304', 'source': 'PNOA;datos oficiales'}"
4328,111539926,"['1270506957', '1270506982']",{'highway': 'residential'}
4329,111539927,"['1270507010', '1270507005', '1270506975']",{'highway': 'residential'}
4330,111539928,"['1270506972', '1270506964']",{'highway': 'residential'}
4331,111539930,"['1270506986', '499994542']","{'name': 'Calle San Ramón', 'highway': 'tertiary', 'source': 'PNOA;datos oficiales', 'ref': 'GR-3304', 'oneway': 'yes'}"
4332,111539931,"['3030445277', '1270507017', '1270507010', '1270506980', '1270506976', '1270507000']",{'highway': 'residential'}
4333,111539932,"['1270506956', '1198121681']",{'highway': 'residential'}
